Time stamp,Sensor name,Raw sensor value
Sun 11:45:51,Light sensor,0.4731
Sun 11:45:51,Temperature sensor,0.5924
Sun 11:45:52,Light sensor,0.4731
Sun 11:45:52,Temperature sensor,0.5934
Sun 11:45:53,Light sensor,0.4741
Sun 11:45:53,Temperature sensor,0.5934
Sun 11:45:54,Light sensor,0.4731
Sun 11:45:54,Temperature sensor,0.5934
Sun 11:45:55,Light sensor,0.4731
Sun 11:45:55,Temperature sensor,0.5934
Sun 11:45:56,Light sensor,0.4731
Sun 11:45:56,Temperature sensor,0.5934
Sun 11:45:57,Light sensor,0.4761
Sun 11:45:57,Temperature sensor,0.5934
Sun 11:45:58,Light sensor,0.4741
Sun 11:45:58,Temperature sensor,0.5934
Sun 11:45:59,Light sensor,0.4721
Sun 11:45:59,Temperature sensor,0.5934
Sun 11:46:00,Light sensor,0.4604
Sun 11:46:00,Temperature sensor,0.5934
Sun 11:46:01,Light sensor,0.4663
Sun 11:46:01,Temperature sensor,0.5934
Sun 11:46:02,Light sensor,0.4624
Sun 11:46:02,Temperature sensor,0.5934
Sun 11:46:03,Light sensor,0.4751
Sun 11:46:03,Temperature sensor,0.5924
Sun 11:46:04,Light sensor,0.4751
Sun 11:46:04,Temperature sensor,0.5924
Sun 11:46:05,Light sensor,0.4751
Sun 11:46:05,Temperature sensor,0.5924
Sun 11:46:06,Light sensor,0.4761
Sun 11:46:06,Temperature sensor,0.5934
Sun 11:46:07,Light sensor,0.4751
Sun 11:46:07,Temperature sensor,0.5934
