Time stamp,Sensor name,Raw sensor value
Sun 15:51:32,Light sensor,0.2571
Sun 15:51:32,Temperature sensor,0.5904
Sun 15:51:33,Light sensor,0.2561
Sun 15:51:33,Temperature sensor,0.5904
Sun 15:51:34,Light sensor,0.2561
Sun 15:51:34,Temperature sensor,0.5914
Sun 15:51:35,Light sensor,0.2561
Sun 15:51:35,Temperature sensor,0.5924
Sun 15:51:36,Light sensor,0.2512
Sun 15:51:36,Temperature sensor,0.5914
Sun 15:51:37,Light sensor,0.26
Sun 15:51:37,Temperature sensor,0.5914
Sun 15:51:38,Light sensor,0.261
Sun 15:51:38,Temperature sensor,0.5904
Sun 15:51:39,Light sensor,0.259
Sun 15:51:39,Temperature sensor,0.5914
Sun 15:51:40,Light sensor,0.2581
Sun 15:51:40,Temperature sensor,0.5924
Sun 15:51:41,Light sensor,0.2542
Sun 15:51:41,Temperature sensor,0.5914
Sun 15:51:42,Light sensor,0.3196
Sun 15:51:42,Temperature sensor,0.5924
Sun 15:51:43,Light sensor,0.39
Sun 15:51:43,Temperature sensor,0.5924
Sun 15:51:44,Light sensor,0.3949
Sun 15:51:44,Temperature sensor,0.5924
Sun 15:51:45,Light sensor,0.3881
Sun 15:51:45,Temperature sensor,0.5924
Sun 15:51:46,Light sensor,0.3675
Sun 15:51:46,Temperature sensor,0.5914
Sun 15:51:47,Light sensor,0.3118
Sun 15:51:47,Temperature sensor,0.5914
Sun 15:51:48,Light sensor,0.2151
Sun 15:51:48,Temperature sensor,0.5914
Sun 15:51:49,Light sensor,0.4448
Sun 15:51:49,Temperature sensor,0.5924
Sun 15:51:50,Light sensor,0.608
Sun 15:51:50,Temperature sensor,0.5924
Sun 15:51:51,Light sensor,0.8094
Sun 15:51:51,Temperature sensor,0.5914
Sun 15:51:52,Light sensor,0.8592
Sun 15:51:52,Temperature sensor,0.5924
Sun 15:51:53,Light sensor,0.87
Sun 15:51:53,Temperature sensor,0.5924
Sun 15:51:54,Light sensor,0.8514
Sun 15:51:54,Temperature sensor,0.5924
Sun 15:51:55,Light sensor,0.8456
Sun 15:51:55,Temperature sensor,0.5924
Sun 15:51:56,Light sensor,0.3245
Sun 15:51:56,Temperature sensor,0.5924
Sun 15:51:57,Light sensor,0.2561
Sun 15:51:57,Temperature sensor,0.5914
Sun 15:51:58,Light sensor,0.2561
Sun 15:51:58,Temperature sensor,0.5914
Sun 15:51:59,Light sensor,0.2561
Sun 15:51:59,Temperature sensor,0.5904
Sun 15:52:00,Light sensor,0.2825
Sun 15:52:00,Temperature sensor,0.5924
Sun 15:52:01,Light sensor,0.1505
Sun 15:52:01,Temperature sensor,0.5914
Sun 15:52:02,Light sensor,0.1848
Sun 15:52:02,Temperature sensor,0.5924
Sun 15:52:03,Light sensor,0.2933
Sun 15:52:03,Temperature sensor,0.5934
Sun 15:52:04,Light sensor,0.2014
Sun 15:52:04,Temperature sensor,0.5924
Sun 15:52:05,Light sensor,0.2004
Sun 15:52:05,Temperature sensor,0.5924
